balance, wins, losses, draws, 
0, 0, 0, 10000, 
1, 0, 0, 10000, 
2, 0, 0, 10000, 
3, 0, 0, 10000, 
4, 3764, 6236, 0, 
5, 3778, 6222, 0, 
6, 3748, 6252, 0, 
7, 3805, 6195, 0, 
8, 4309, 5691, 0, 
9, 5535, 4465, 0, 
10, 5599, 4401, 0, 
11.0, 6024, 3976, 0, 
12.0, 5984, 4016, 0, 
13.0, 5977, 4023, 0, 
14.0, 5931, 4069, 0, 
15.0, 6571, 3429, 0, 
16.0, 6843, 3157, 0, 
17.0, 6958, 3042, 0, 
18.0, 6990, 3010, 0, 
19.0, 7065, 2935, 0, 
20.0, 7169, 2831, 0, 
22.0, 7468, 2532, 0, 
24.0, 7583, 2417, 0, 
26.0, 7750, 2250, 0, 
28.0, 7877, 2123, 0, 
30.0, 8039, 1961, 0, 
33.0, 8222, 1778, 0, 
36.0, 8271, 1729, 0, 
39.0, 8380, 1620, 0, 
42.0, 8585, 1415, 0, 
46.0, 8606, 1394, 0, 
50.0, 8756, 1244, 0, 
55.0, 8889, 1111, 0, 
60.0, 8953, 1047, 0, 
66.0, 8983, 1017, 0, 
72.0, 9110, 890, 0, 
79.0, 9164, 836, 0, 
86.0, 9207, 793, 0, 
94.0, 9282, 718, 0, 
103.0, 9345, 655, 0, 
113.0, 9387, 613, 0, 
124.0, 9471, 529, 0, 
136.0, 9462, 538, 0, 
149.0, 9517, 483, 0, 
163.0, 9576, 424, 0, 
179.0, 9611, 389, 0, 
196.0, 9640, 360, 0, 
215.0, 9695, 305, 0, 
236.0, 9731, 269, 0, 
259.0, 9752, 248, 0, 
284.0, 9774, 226, 0, 
312.0, 9795, 205, 0, 
343.0, 9815, 185, 0, 
377.0, 9851, 149, 0, 
414.0, 9849, 151, 0, 
455.0, 9833, 167, 0, 
500.0, 9874, 126, 0, 
550.0, 9885, 115, 0, 
605.0, 9890, 110, 0, 
665.0, 9897, 103, 0, 
731.0, 9923, 77, 0, 
804.0, 9930, 70, 0, 
884.0, 9902, 98, 0, 
972.0, 9934, 66, 0, 
1069.0, 9949, 51, 0, 
1175.0, 9942, 58, 0, 
1292.0, 9948, 52, 0, 
1421.0, 9956, 44, 0, 
1563.0, 9953, 47, 0, 
1719.0, 9953, 47, 0, 
1890.0, 9962, 38, 0, 
2079.0, 9967, 33, 0, 
2286.0, 9973, 27, 0, 
2514.0, 9976, 24, 0, 
2765.0, 9974, 26, 0, 
3041.0, 9975, 25, 0, 
3345.0, 9980, 20, 0, 
3679.0, 9980, 20, 0, 
4046.0, 9976, 24, 0, 
4450.0, 9990, 10, 0, 
4895.0, 9992, 8, 0, 
5384.0, 9993, 7, 0, 
5922.0, 9990, 10, 0, 
6514.0, 9981, 19, 0, 
7165.0, 9992, 8, 0, 
7881.0, 9988, 12, 0, 
8669.0, 9993, 7, 0, 
9535.0, 9993, 7, 0, 
10488.0, 9993, 7, 0, 
11536.0, 9994, 6, 0, 
12689.0, 9993, 7, 0, 
13957.0, 9994, 6, 0, 
15352.0, 9995, 5, 0, 
16887.0, 9994, 6, 0, 
18575.0, 9994, 6, 0, 
20432.0, 9998, 2, 0, 
22475.0, 9998, 2, 0, 
24722.0, 9998, 2, 0, 
27194.0, 10000, 0, 0, 
29913.0, 9996, 4, 0, 
32904.0, 9997, 3, 0, 
36194.0, 9998, 2, 0, 
39813.0, 9999, 1, 0, 
43794.0, 10000, 0, 0, 
48173.0, 9998, 2, 0, 
52990.0, 9999, 1, 0, 
58289.0, 9998, 2, 0, 
64117.0, 10000, 0, 0, 
70528.0, 10000, 0, 0, 
77580.0, 9998, 2, 0, 
85338.0, 10000, 0, 0, 
93871.0, 9999, 1, 0, 
103258.0, 9999, 1, 0, 
113583.0, 10000, 0, 0, 
124941.0, 10000, 0, 0, 
137435.0, 9999, 1, 0, 
151178.0, 10000, 0, 0, 
166295.0, 9999, 1, 0, 
182924.0, 10000, 0, 0, 
201216.0, 10000, 0, 0, 
221337.0, 10000, 0, 0, 
243470.0, 10000, 0, 0, 
267817.0, 10000, 0, 0, 
294598.0, 10000, 0, 0, 
324057.0, 10000, 0, 0, 
356462.0, 10000, 0, 0, 
392108.0, 10000, 0, 0, 
